Facility,Country
Acton Sky Portal Observatory,United States
Anglo-Australian Telescope,Australia
Apache Point Observatory,United States
Arecibo Observatory,United States
Atacama Large Millimeter Array (ALMA),Chile
Bohyunsan Optical Astronomical Observatory,South Korea
Calar Alto Observatory,Spain
Cerro Tololo Inter-American Observatory,Chile
CoRoT,France
European Southern Observatory,Germany
Fred Lawrence Whipple Observatory,United States
Gemini Observatory,United States
HATNet,Hungary
HATSouth,Hungary
Haute-Provence Observatory,France
Hubble Space Telescope,United States
Infrared Survey Facility,South Africa
K2,United States
KELT,United States
KELT-North,United States
KELT-South,South Africa
KMTNet,South Korea
KOINet,Multiple
Kepler,United States
Kitt Peak National Observatory,United States
La Silla Observatory,Chile
Large Binocular Telescope Observatory,United States
Las Campanas Observatory,Chile
Leoncito Astronomical Complex,Argentina
Lick Observatory,United States
MEarth Project,United States
MOA,Japan
Mauna Kea Observatory,United States
McDonald Observatory,United States
Multiple Facilities,Multiple
Multiple Observatories,Multiple
OGLE,Poland
Oak Ridge Observatory,United States
Okayama Astrophysical Observatory,Japan
Palomar Observatory,United States
Paranal Observatory,Chile
Parkes Observatory,Australia
Qatar,United States
Roque de los Muchachos Observatory,Spain
Spitzer Space Telescope,United States
Subaru Telescope,United States
SuperWASP,Multiple
SuperWASP-North,Spain
SuperWASP-South,South Africa
Teide Observatory,Spain
Thueringer Landessternwarte Tautenburg,Germany
TrES,United States
Transiting Exoplanet Survey Satellite (TESS),United States
United Kingdom Infrared Telescope,United Kingdom
W. M. Keck Observatory,United States
WASP-South,South Africa
Winer Observatory,United States
XO,United States
Xinglong Station,China
Yunnan Astronomical Observatory,China
